FROM: http://127.0.0.1:8888/?corpus=762da13ca8334f4c7365a770c7768967&panels=collocatesgraph,reader,trends,summary,bubblelines&lang=en

Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
fromthe	2	6	1.0657951E-4	-0.34001052	1.227009	0.0,1.9263184E-4,0.0,0.0,0.0,2.945942E-4
frame	1	6	1.0657951E-4	6.0	2.4494898	0.0,2.8894775E-4,0.0,0.0,0.0,0.0
fourier	3	6	1.0657951E-4	0.47266227	1.1802478	3.4614053E-4,9.631592E-5,0.0,1.9286403E-4,0.0,0.0
footprint	1	6	1.0657951E-4	6.0	2.4494898	0.0,2.8894775E-4,0.0,0.0,0.0,0.0
figs	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,0.0,5.7859207E-4,0.0,0.0
fg02	5	6	1.0657951E-4	2.6587796	1.1474478	0.0,9.631592E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
fft	4	6	1.0657951E-4	-2.1584234	0.49204844	0.0,4.815796E-5,3.2092427E-4,0.0,3.0807147E-4,1.472971E-4
familiar	5	6	1.0657951E-4	2.6587796	1.1474478	0.0,9.631592E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
evaluation	3	6	1.0657951E-4	5.4865828	2.3236296	6.9228106E-4,4.815796E-5,1.0697475E-4,0.0,0.0,0.0
etm	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,6.4184854E-4,0.0,0.0,0.0
es40	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,6.4184854E-4,0.0,0.0,0.0
error	4	6	1.0657951E-4	0.4481454	1.2611057	5.192108E-4,4.815796E-5,0.0,9.643201E-5,3.0807147E-4,0.0
entry	3	6	1.0657951E-4	-1.3067065	0.66006804	0.0,1.4447387E-4,2.139495E-4,9.643201E-5,0.0,0.0
eds	4	6	1.0657951E-4	0.63947654	0.7300803	0.0,1.4447387E-4,1.0697475E-4,0.0,3.0807147E-4,1.472971E-4
dynamics	3	6	1.0657951E-4	2.0875695	1.5010405	3.4614053E-4,1.4447387E-4,0.0,9.643201E-5,0.0,0.0
dx.doi.org	3	6	1.0657951E-4	2.4951239	1.5894233	0.0,0.0,1.0697475E-4,3.8572805E-4,0.0,1.472971E-4
dl	1	6	1.0657951E-4	6.0	2.4494898	0.0,2.8894775E-4,0.0,0.0,0.0,0.0
dj	1	6	1.0657951E-4	6.0	2.4494898	0.0,2.8894775E-4,0.0,0.0,0.0,0.0
display	5	6	1.0657951E-4	2.6587796	1.1474478	0.0,9.631592E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
direction	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,0.0,5.7859207E-4,0.0,0.0
david	3	6	1.0657951E-4	2.0467575	1.5192517	0.0,0.0,1.0697475E-4,1.9286403E-4,0.0,4.418913E-4
d2	2	6	1.0657951E-4	-0.89407253	1.1326499	1.7307026E-4,2.4078978E-4,0.0,0.0,0.0,0.0
csb	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,8.837826E-4
contain	3	6	1.0657951E-4	4.3384004	2.0584824	0.0,4.815796E-5,1.0697475E-4,3.8572805E-4,0.0,0.0
constraints	4	6	1.0657951E-4	2.885701	1.6724126	1.7307026E-4,4.815796E-5,1.0697475E-4,0.0,0.0,4.418913E-4
constants	2	6	1.0657951E-4	1.4364362	1.5381327	0.0,1.4447387E-4,0.0,2.8929603E-4,0.0,0.0
consistent	5	6	1.0657951E-4	-1.7268965	0.5895365	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,2.945942E-4
considers	2	6	1.0657951E-4	-1.8749857	0.9682482	0.0,1.9263184E-4,0.0,1.9286403E-4,0.0,0.0
computationalpower	4	6	1.0657951E-4	3.7569788	1.8321781	0.0,0.0,1.0697475E-4,1.9286403E-4,6.1614293E-4,1.472971E-4
compu	3	6	1.0657951E-4	-1.5479711	0.5289348	1.7307026E-4,1.9263184E-4,0.0,0.0,3.0807147E-4,0.0
compared	3	6	1.0657951E-4	-0.81355333	0.7527363	0.0,0.0,3.2092427E-4,1.9286403E-4,0.0,1.472971E-4
cocke	5	6	1.0657951E-4	0.11103658	0.5572175	0.0,4.815796E-5,1.0697475E-4,1.9286403E-4,3.0807147E-4,1.472971E-4
clearly	4	6	1.0657951E-4	-1.8531626	0.5634045	0.0,9.631592E-5,0.0,9.643201E-5,3.0807147E-4,2.945942E-4
calling	2	6	1.0657951E-4	4.323842	2.083761	6.9228106E-4,0.0,0.0,1.9286403E-4,0.0,0.0
book	3	6	1.0657951E-4	-0.7201643	0.75115114	0.0,1.9263184E-4,1.0697475E-4,9.643201E-5,0.0,0.0
bicubic	2	6	1.0657951E-4	5.467577	2.324748	0.0,1.4447387E-4,0.0,0.0,9.2421443E-4,0.0
asthe	4	6	1.0657951E-4	1.8706155	1.3870412	0.0,4.815796E-5,3.2092427E-4,9.643201E-5,0.0,1.472971E-4
assumes	4	6	1.0657951E-4	0.68154216	0.7919198	0.0,1.4447387E-4,0.0,9.643201E-5,3.0807147E-4,1.472971E-4
assumed	3	6	1.0657951E-4	-0.7201643	0.75115114	0.0,1.9263184E-4,1.0697475E-4,9.643201E-5,0.0,0.0
approximations	2	6	1.0657951E-4	5.7862635	2.3974636	0.0,4.815796E-5,0.0,4.8216007E-4,0.0,0.0
applying	2	6	1.0657951E-4	0.71674794	1.4103706	3.4614053E-4,1.9263184E-4,0.0,0.0,0.0,0.0
analytical	2	6	1.0657951E-4	1.4364362	1.5381327	0.0,1.4447387E-4,0.0,2.8929603E-4,0.0,0.0
aircraft	1	6	1.0657951E-4	6.0	2.4494898	0.0010384216,0.0,0.0,0.0,0.0,0.0
agreement	5	6	1.0657951E-4	1.7429328	0.93286437	1.7307026E-4,9.631592E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,0.0
addresses	2	6	1.0657951E-4	-0.89407253	1.1326499	1.7307026E-4,2.4078978E-4,0.0,0.0,0.0,0.0
7.1	3	6	1.0657951E-4	-1.9129944	0.4874453	0.0,0.0,2.139495E-4,2.8929603E-4,0.0,1.472971E-4
6.43	1	6	1.0657951E-4	6.0	2.4494898	0.0,2.8894775E-4,0.0,0.0,0.0,0.0
6.17	2	6	1.0657951E-4	-1.7675692	0.9860961	0.0,1.9263184E-4,2.139495E-4,0.0,0.0,0.0
6.13	2	6	1.0657951E-4	2.1729763	1.6717079	0.0,2.4078978E-4,1.0697475E-4,0.0,0.0,0.0
5.9	3	6	1.0657951E-4	1.4890717	1.360312	0.0,9.631592E-5,3.2092427E-4,0.0,0.0,1.472971E-4
5.7	3	6	1.0657951E-4	1.7232913	1.5565944	0.0,4.815796E-5,2.139495E-4,0.0,0.0,4.418913E-4
4n2	2	6	1.0657951E-4	-1.855336	0.9715104	0.0,0.0,0.0,0.0,6.1614293E-4,5.891884E-4
4.16	3	6	1.0657951E-4	4.2522397	2.0104723	0.0,9.631592E-5,1.0697475E-4,0.0,0.0,4.418913E-4
4.13	3	6	1.0657951E-4	5.286787	2.2764084	0.0,4.815796E-5,1.0697475E-4,0.0,0.0,5.891884E-4
3n	3	6	1.0657951E-4	0.79420125	1.2261926	1.7307026E-4,0.0,0.0,0.0,3.0807147E-4,5.891884E-4
2z	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,6.4184854E-4,0.0,0.0,0.0
2x	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,6.4184854E-4,0.0,0.0,0.0
2l0	3	6	1.0657951E-4	-3.0771735	0.09239634	1.7307026E-4,1.9263184E-4,0.0,0.0,0.0,1.472971E-4
240	2	6	1.0657951E-4	4.3605165	2.0911689	0.0,0.0,5.3487375E-4,0.0,0.0,1.472971E-4
1r0	1	6	1.0657951E-4	6.0	2.4494898	0.0,2.8894775E-4,0.0,0.0,0.0,0.0
1b	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,8.837826E-4
1959	4	6	1.0657951E-4	-1.427471	-0.14485526	0.0,9.631592E-5,1.0697475E-4,1.9286403E-4,0.0,1.472971E-4
17tc	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,6.4184854E-4,0.0,0.0,0.0
17l	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,6.4184854E-4,0.0,0.0,0.0
173	1	6	1.0657951E-4	6.0	2.4494898	0.0010384216,0.0,0.0,0.0,0.0,0.0
160tc	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,6.4184854E-4,0.0,0.0,0.0
157	4	6	1.0657951E-4	2.376132	1.3309225	0.0,9.631592E-5,1.0697475E-4,9.643201E-5,0.0,2.945942E-4
108	1	6	1.0657951E-4	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,8.837826E-4
103232	1	6	1.0657951E-4	6.0	2.4494898	0.0010384216,0.0,0.0,0.0,0.0,0.0
1.5	2	6	1.0657951E-4	-1.7675692	0.9860961	0.0,1.9263184E-4,2.139495E-4,0.0,0.0,0.0
04er25629	5	6	1.0657951E-4	2.6587796	1.1474478	0.0,9.631592E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
0.8	2	6	1.0657951E-4	3.917253	2.0026846	0.0,1.9263184E-4,0.0,0.0,6.1614293E-4,0.0
0,1	3	6	1.0657951E-4	5.575511	2.3442183	6.9228106E-4,4.815796E-5,0.0,9.643201E-5,0.0,0.0
0,0	1	6	1.0657951E-4	6.0	2.4494898	0.0010384216,0.0,0.0,0.0,0.0,0.0
φ21	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,5.3487375E-4,0.0,0.0,0.0
δ	2	5	8.8816254E-5	5.247569	2.2764237	5.192108E-4,9.631592E-5,0.0,0.0,0.0,0.0
ð5	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
yale	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
xt3	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,7.3648547E-4
ww	2	5	8.8816254E-5	-1.8033098	0.9801535	0.0,0.0,3.2092427E-4,0.0,0.0,2.945942E-4
withthe	4	5	8.8816254E-5	2.7421663	1.5587516	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,0.0,2.945942E-4
weak	3	5	8.8816254E-5	-1.9979843	0.75049543	0.0,0.0,3.2092427E-4,9.643201E-5,3.0807147E-4,0.0
ways	4	5	8.8816254E-5	-0.9664627	0.57130915	0.0,4.815796E-5,2.139495E-4,9.643201E-5,0.0,1.472971E-4
wasserman	2	5	8.8816254E-5	4.890503	2.2002778	0.0,0.0,4.27899E-4,9.643201E-5,0.0,0.0
volume	3	5	8.8816254E-5	3.5007207	1.822529	3.4614053E-4,9.631592E-5,0.0,9.643201E-5,0.0,0.0
vk	2	5	8.8816254E-5	5.6630025	2.3688674	0.0,4.815796E-5,0.0,3.8572805E-4,0.0,0.0
vertical	3	5	8.8816254E-5	0.53581977	1.107373	0.0,0.0,1.0697475E-4,2.8929603E-4,0.0,1.472971E-4
verify	2	5	8.8816254E-5	-1.2076349	1.0797422	0.0,1.9263184E-4,0.0,0.0,0.0,1.472971E-4
united	4	5	8.8816254E-5	-0.7107844	0.8788775	0.0,4.815796E-5,2.139495E-4,9.643201E-5,3.0807147E-4,0.0
uk	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
udk	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
udj	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
ubþ	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
tree	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
tr	2	5	8.8816254E-5	5.727285	2.3836927	0.0,4.815796E-5,4.27899E-4,0.0,0.0,0.0
tionship	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
thrashing	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
thought	3	5	8.8816254E-5	-0.7073214	0.7546619	0.0,9.631592E-5,1.0697475E-4,1.9286403E-4,0.0,0.0
thework	4	5	8.8816254E-5	2.7421663	1.5587516	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,0.0,2.945942E-4
theself	2	5	8.8816254E-5	0.7309981	1.4128762	0.0,1.9263184E-4,1.0697475E-4,0.0,0.0,0.0
theratio	2	5	8.8816254E-5	-0.055844877	1.2758596	0.0,1.9263184E-4,0.0,0.0,3.0807147E-4,0.0
test	2	5	8.8816254E-5	5.8977976	2.4240632	6.9228106E-4,4.815796E-5,0.0,0.0,0.0,0.0
ters	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
temporal	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
tational	2	5	8.8816254E-5	-0.055844877	1.2758596	0.0,1.9263184E-4,0.0,0.0,3.0807147E-4,0.0
taking	4	5	8.8816254E-5	-1.5381999	-0.5185168	0.0,9.631592E-5,1.0697475E-4,9.643201E-5,0.0,1.472971E-4
t3d	3	5	8.8816254E-5	2.329194	1.5319685	0.0,9.631592E-5,1.0697475E-4,0.0,0.0,2.945942E-4
stone	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
state	2	5	8.8816254E-5	-1.7632201	0.98681945	1.7307026E-4,1.9263184E-4,0.0,0.0,0.0,0.0
squares	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
slab	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,5.3487375E-4,0.0,0.0,0.0
sis	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
sions	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
singh’s	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
simulation	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
similitude	5	5	8.8816254E-5	1.5187689	0.6039407	1.7307026E-4,0.0,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
shownin	3	5	8.8816254E-5	2.6618538	1.613112	0.0,9.631592E-5,0.0,9.643201E-5,0.0,2.945942E-4
s6	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,5.3487375E-4,0.0,0.0,0.0
s5	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,5.3487375E-4,0.0,0.0,0.0
s4	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,5.3487375E-4,0.0,0.0,0.0
s3	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,5.3487375E-4,0.0,0.0,0.0
run	2	5	8.8816254E-5	4.338294	2.0866783	0.0,0.0,1.0697475E-4,3.8572805E-4,0.0,0.0
rpm	1	5	8.8816254E-5	6.0	2.4494898	8.6535135E-4,0.0,0.0,0.0,0.0,0.0
rightside	3	5	8.8816254E-5	2.329194	1.5319685	0.0,9.631592E-5,1.0697475E-4,0.0,0.0,2.945942E-4
reserved	4	5	8.8816254E-5	-1.9745076	-0.52083015	1.7307026E-4,0.0,1.0697475E-4,1.9286403E-4,0.0,1.472971E-4
reduction	2	5	8.8816254E-5	4.338294	2.0866783	0.0,0.0,1.0697475E-4,3.8572805E-4,0.0,0.0
recognized	4	5	8.8816254E-5	-1.2544047	0.57123	0.0,4.815796E-5,2.139495E-4,0.0,3.0807147E-4,1.472971E-4
recognize	4	5	8.8816254E-5	1.3609142	1.0523366	0.0,9.631592E-5,1.0697475E-4,0.0,3.0807147E-4,1.472971E-4
real	2	5	8.8816254E-5	5.247569	2.2764237	5.192108E-4,9.631592E-5,0.0,0.0,0.0,0.0
rates	3	5	8.8816254E-5	4.6098895	2.1070328	0.0,9.631592E-5,0.0,0.0,6.1614293E-4,1.472971E-4
range	2	5	8.8816254E-5	-1.1086475	1.0964073	0.0,1.4447387E-4,0.0,1.9286403E-4,0.0,0.0
raised	3	5	8.8816254E-5	3.5007207	1.822529	3.4614053E-4,9.631592E-5,0.0,9.643201E-5,0.0,0.0
products	2	5	8.8816254E-5	-1.0442152	1.1072731	0.0,0.0,2.139495E-4,2.8929603E-4,0.0,0.0
private	3	5	8.8816254E-5	3.1521604	1.7939373	0.0,4.815796E-5,1.0697475E-4,2.8929603E-4,0.0,0.0
principles	4	5	8.8816254E-5	0.6146217	0.928962	1.7307026E-4,9.631592E-5,0.0,9.643201E-5,3.0807147E-4,0.0
principal	3	5	8.8816254E-5	-0.94297564	1.0495303	0.0,4.815796E-5,2.139495E-4,0.0,0.0,2.945942E-4
predicts	2	5	8.8816254E-5	4.9614644	2.2152176	0.0,9.631592E-5,0.0,0.0,0.0,4.418913E-4
pradesh	1	5	8.8816254E-5	6.0	2.4494898	8.6535135E-4,0.0,0.0,0.0,0.0,0.0
practice	3	5	8.8816254E-5	-0.7073214	0.7546619	0.0,9.631592E-5,1.0697475E-4,1.9286403E-4,0.0,0.0
pipelined	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
pipe	1	5	8.8816254E-5	6.0	2.4494898	8.6535135E-4,0.0,0.0,0.0,0.0,0.0
picked	2	5	8.8816254E-5	-0.9031199	1.1311184	0.0,0.0,4.27899E-4,0.0,3.0807147E-4,0.0
performanceanalysis	3	5	8.8816254E-5	-2.9910483	0.1389807	0.0,1.4447387E-4,1.0697475E-4,0.0,0.0,1.472971E-4
perfor	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
pdf	2	5	8.8816254E-5	-1.7632201	0.98681945	1.7307026E-4,1.9263184E-4,0.0,0.0,0.0,0.0
pbþ	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
parkbench	2	5	8.8816254E-5	1.4207022	1.5353118	0.0,1.9263184E-4,0.0,9.643201E-5,0.0,0.0
para	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
pakin	2	5	8.8816254E-5	0.2036709	1.3207577	0.0,0.0,3.2092427E-4,1.9286403E-4,0.0,0.0
orifice	1	5	8.8816254E-5	6.0	2.4494898	8.6535135E-4,0.0,0.0,0.0,0.0,0.0
online	4	5	8.8816254E-5	2.1212718	1.3097699	3.4614053E-4,0.0,1.0697475E-4,9.643201E-5,0.0,1.472971E-4
ny	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
nondimensional	1	5	8.8816254E-5	6.0	2.4494898	8.6535135E-4,0.0,0.0,0.0,0.0,0.0
newton	2	5	8.8816254E-5	-1.1086475	1.0964073	0.0,1.4447387E-4,0.0,1.9286403E-4,0.0,0.0
newsletter	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
multiplying	3	5	8.8816254E-5	3.23266	1.7572211	3.4614053E-4,9.631592E-5,1.0697475E-4,0.0,0.0,0.0
mflop	3	5	8.8816254E-5	-0.6895021	1.1325635	0.0,4.815796E-5,0.0,0.0,3.0807147E-4,4.418913E-4
metrics	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
mechanical	4	5	8.8816254E-5	3.57147	1.7942995	3.4614053E-4,4.815796E-5,1.0697475E-4,9.643201E-5,0.0,0.0
means	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
mccalpin	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
maximum	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
mapped	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
mance	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
main	2	5	8.8816254E-5	0.7309981	1.4128762	0.0,1.9263184E-4,1.0697475E-4,0.0,0.0,0.0
m0	2	5	8.8816254E-5	4.338294	2.0866783	0.0,0.0,1.0697475E-4,3.8572805E-4,0.0,0.0
logic	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
load	4	5	8.8816254E-5	-1.7368848	0.27411255	0.0,4.815796E-5,1.0697475E-4,1.9286403E-4,0.0,1.472971E-4
ln	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
limits	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,5.3487375E-4,0.0,0.0,0.0
lg	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,7.3648547E-4
l1y	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,5.3487375E-4,0.0,0.0,0.0
kernel	2	5	8.8816254E-5	5.6630025	2.3688674	0.0,4.815796E-5,0.0,3.8572805E-4,0.0,0.0
interlock	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
int	2	5	8.8816254E-5	5.8977976	2.4240632	6.9228106E-4,4.815796E-5,0.0,0.0,0.0,0.0
iii	3	5	8.8816254E-5	-0.94297564	1.0495303	0.0,4.815796E-5,2.139495E-4,0.0,0.0,2.945942E-4
iec61966	2	5	8.8816254E-5	4.800256	2.181401	0.0,1.4447387E-4,0.0,0.0,6.1614293E-4,0.0
identical	3	5	8.8816254E-5	-2.3543491	0.43712586	1.7307026E-4,9.631592E-5,0.0,1.9286403E-4,0.0,0.0
hydrodynamics	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
green	2	5	8.8816254E-5	5.415629	2.313223	0.0,0.0,0.0,9.643201E-5,0.0,5.891884E-4
great	2	5	8.8816254E-5	3.6621518	1.9527065	0.0,9.631592E-5,0.0,2.8929603E-4,0.0,0.0
germany	3	5	8.8816254E-5	-1.9828311	0.4853314	0.0,9.631592E-5,0.0,1.9286403E-4,0.0,1.472971E-4
gene	3	5	8.8816254E-5	4.2504907	2.0100198	0.0,0.0,1.0697475E-4,9.643201E-5,0.0,4.418913E-4
functionof	3	5	8.8816254E-5	-2.5278046	0.2529114	0.0,1.4447387E-4,1.0697475E-4,9.643201E-5,0.0,0.0
fully	2	5	8.8816254E-5	2.5383408	1.7391709	3.4614053E-4,1.4447387E-4,0.0,0.0,0.0,0.0
fluctuations	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
fewer	2	5	8.8816254E-5	4.0701814	2.0329633	0.0,9.631592E-5,3.2092427E-4,0.0,0.0,0.0
faster	2	5	8.8816254E-5	-1.2076349	1.0797422	0.0,1.9263184E-4,0.0,0.0,0.0,1.472971E-4
extreme	2	5	8.8816254E-5	5.6630025	2.3688674	0.0,4.815796E-5,0.0,3.8572805E-4,0.0,0.0
expression	3	5	8.8816254E-5	-0.035806287	1.0329901	1.7307026E-4,9.631592E-5,0.0,0.0,0.0,2.945942E-4
exponent	3	5	8.8816254E-5	0.06699862	1.2411115	3.4614053E-4,4.815796E-5,2.139495E-4,0.0,0.0,0.0
explained	4	5	8.8816254E-5	-1.7378913	-0.3646921	1.7307026E-4,9.631592E-5,1.0697475E-4,0.0,0.0,1.472971E-4
exercise	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
evaluated	2	5	8.8816254E-5	5.8977976	2.4240632	6.9228106E-4,4.815796E-5,0.0,0.0,0.0,0.0
evaluate	1	5	8.8816254E-5	6.0	2.4494898	8.6535135E-4,0.0,0.0,0.0,0.0,0.0
estimating	5	5	8.8816254E-5	2.1602118	1.2346095	0.0,4.815796E-5,1.0697475E-4,9.643201E-5,3.0807147E-4,1.472971E-4
ent	2	5	8.8816254E-5	-1.2076349	1.0797422	0.0,1.9263184E-4,0.0,0.0,0.0,1.472971E-4
emphasize	3	5	8.8816254E-5	-0.7073214	0.7546619	0.0,9.631592E-5,1.0697475E-4,1.9286403E-4,0.0,0.0
edn	2	5	8.8816254E-5	4.800256	2.181401	0.0,1.4447387E-4,0.0,0.0,6.1614293E-4,0.0
easy	4	5	8.8816254E-5	3.57147	1.7942995	3.4614053E-4,4.815796E-5,1.0697475E-4,9.643201E-5,0.0,0.0
early	1	5	8.8816254E-5	6.0	2.4494898	0.0,2.4078978E-4,0.0,0.0,0.0,0.0
eachprocessor	3	5	8.8816254E-5	0.4902133	1.0627476	0.0,9.631592E-5,2.139495E-4,9.643201E-5,0.0,0.0
dot	2	5	8.8816254E-5	5.6630025	2.3688674	0.0,4.815796E-5,0.0,3.8572805E-4,0.0,0.0
doi.org	1	5	8.8816254E-5	6.0	2.4494898	8.6535135E-4,0.0,0.0,0.0,0.0,0.0
dkj	2	5	8.8816254E-5	-1.7632201	0.98681945	1.7307026E-4,1.9263184E-4,0.0,0.0,0.0,0.0
distance	3	5	8.8816254E-5	4.6098895	2.1070328	0.0,9.631592E-5,0.0,0.0,6.1614293E-4,1.472971E-4
discussion	3	5	8.8816254E-5	5.19231	2.244441	0.0,9.631592E-5,0.0,9.643201E-5,6.1614293E-4,0.0
dis	2	5	8.8816254E-5	-1.7632201	0.98681945	1.7307026E-4,1.9263184E-4,0.0,0.0,0.0,0.0
directly	4	5	8.8816254E-5	-0.9664627	0.57130915	0.0,4.815796E-5,2.139495E-4,9.643201E-5,0.0,1.472971E-4
directions	3	5	8.8816254E-5	-1.3897249	0.64491606	0.0,9.631592E-5,2.139495E-4,0.0,0.0,1.472971E-4
differ	2	5	8.8816254E-5	-1.2076349	1.0797422	0.0,1.9263184E-4,0.0,0.0,0.0,1.472971E-4
determining	3	5	8.8816254E-5	-2.5278046	0.2529114	0.0,1.4447387E-4,1.0697475E-4,9.643201E-5,0.0,0.0
details	4	5	8.8816254E-5	4.7145715	2.1192975	0.0,4.815796E-5,1.0697475E-4,0.0,6.1614293E-4,1.472971E-4
describing	3	5	8.8816254E-5	3.1521604	1.7939373	0.0,4.815796E-5,1.0697475E-4,2.8929603E-4,0.0,0.0
defining	3	5	8.8816254E-5	-2.5278046	0.2529114	0.0,1.4447387E-4,1.0697475E-4,9.643201E-5,0.0,0.0
decreasing	3	5	8.8816254E-5	4.020228	1.9810919	0.0,4.815796E-5,3.2092427E-4,9.643201E-5,0.0,0.0
cost	3	5	8.8816254E-5	-0.77016044	0.78991187	3.4614053E-4,0.0,2.139495E-4,0.0,0.0,1.472971E-4
contour	1	5	8.8816254E-5	6.0	2.4494898	0.0,0.0,0.0,4.8216007E-4,0.0,0.0
continuous	2	5	8.8816254E-5	-1.7632201	0.98681945	1.7307026E-4,1.9263184E-4,0.0,0.0,0.0,0.0
contend	2	5	8.8816254E-5	3.019071	1.8293127	0.0,0.0,0.0,3.8572805E-4,0.0,1.472971E-4
